,batsman,tot_ball,inning,over_num,ball_num,stage,bowler_num,batsman_num,howout,wide_runs,noball,noball_bat_runs,LegByes_runs,Byes_runs,Bat_runs,Balls_faced,boundary,scoring_id,wickets,Overs,run,runs,ball_counts,runrate_ball,EXTRA
0,Dilli Babu ,2670,26,35,48,13,15,26,5,0,0,0,0,0,7,91,4,19,1,39.8,7,178,187,5.159420289,13
1,Kaleeswaran ,3232,24,154,43,24,40,84,3,0,1,0,0,0,13,78,8,23,61,158.3,14,654,940,18.95652174,12
2,Kooda Lingam,4617,28,308,51,28,76,154,0,1,0,0,0,3,2,105,0,16,126,313.1,6,1314,1943,38.086956523,14
3,Kumar ,2754,18,166,34,18,35,81,1,0,1,0,0,0,3,45,0,12,64,169.4,4,724,1035,20.985507245,9
4,Mahendran ,4521,38,148,61,21,30,57,1,0,0,0,0,0,12,190,8,29,52,154.1,12,577,892,16.72463768,19
5,Murugan ,3751,36,57,67,18,31,18,1,0,1,0,0,0,16,171,12,31,3,63.7,17,299,313,8.666666667,18
6,Navaneetha Krishnan,6847,48,367,91,48,87,144,5,1,0,0,0,0,9,300,0,33,144,376.1,10,1605,2263,46.521739127000004,24
7,Om Jagadeesh ,914,8,24,18,4,8,16,3,0,0,0,0,0,0,10,0,4,9,25.8,0,104,150,3.014492752,4
8,Pradeep ,2711,22,101,37,17,18,55,1,0,0,0,0,0,5,66,0,16,37,104.7,5,379,610,10.985507246000001,11
9,Praveen Kumar,4046,28,224,43,28,50,112,1,1,0,0,0,0,14,105,10,24,85,228.3,15,1020,1372,29.565217393,14
10,Senthil Nathan ,5286,32,354,56,32,88,160,3,2,0,0,0,0,8,136,4,23,141,359.6,10,1502,2230,43.536231885,16
