,over_num,tot_ball,inning,ball_num,stage,bowler_num,batsman_num,howout,wide_runs,noball,noball_bat_runs,LegByes_runs,Byes_runs,Bat_runs,Balls_faced,boundary,scoring_id,wickets,Overs,run,runs,ball_counts,runrate_ball,EXTRA
0,1,1167,12,21,6,6,10,0,0,0,0,0,0,6,13,4,11,0,8.1,6,18,21,0.521739129,6
1,2,1203,12,21,6,12,7,0,0,0,0,0,0,9,30,8,13,0,14.1,9,66,57,1.91304348,6
2,3,1239,12,21,6,6,11,0,0,0,0,0,0,2,48,0,8,0,20.1,2,99,93,2.869565217,6
3,4,1926,18,38,9,18,10,0,0,1,0,0,0,6,111,4,14,0,39.8,7,196,207,5.68115942,9
4,5,1329,12,21,6,6,12,6,0,0,0,0,0,1,63,0,7,6,32.1,1,147,183,4.260869565,6
5,6,1365,12,21,6,12,22,3,0,0,0,0,0,1,17,0,7,13,38.1,1,155,219,4.492753621,6
6,7,1401,12,21,6,6,24,0,0,0,0,0,0,1,24,0,7,18,44.1,1,160,255,4.6376811600000005,6
7,8,1437,12,21,6,12,20,0,0,0,0,0,0,2,54,0,8,18,50.1,2,167,291,4.840579711,6
8,9,1473,12,21,6,6,20,0,0,0,0,0,0,9,80,8,13,18,56.1,9,212,327,6.144927534,6
9,10,1509,12,21,12,18,27,1,0,0,0,0,0,1,59,0,7,20,62.1,1,232,363,6.724637682000001,6
10,11,1545,12,21,12,6,33,1,0,0,0,0,0,4,39,0,10,26,68.1,4,248,399,7.188405797,6
11,12,1848,14,26,14,21,47,0,0,1,0,0,0,8,26,4,14,35,86.6,9,346,511,10.028985508,7
12,13,1623,12,21,12,24,40,0,0,0,0,0,0,6,45,4,11,30,80.1,6,334,477,9.68115942,6
13,14,1659,12,21,12,18,45,3,0,0,0,0,0,11,39,10,13,34,86.1,11,371,513,10.75362319,6
14,15,1695,12,21,12,24,40,0,0,0,0,0,0,4,51,0,10,36,92.1,4,428,549,12.405797100000001,6
15,16,2023,14,25,14,21,46,0,1,0,0,0,0,1,88,0,8,42,114.5,2,521,686,15.101449273,7
16,17,2072,14,22,14,28,54,0,1,0,0,0,0,1,81,0,8,42,121.2,2,534,735,15.478260871,7
17,18,2121,14,27,14,21,59,1,0,1,0,0,0,3,48,0,10,49,128.7,4,553,784,16.028985505999998,7
18,19,1857,12,21,12,30,52,1,0,0,0,0,0,2,51,0,8,44,116.1,2,493,711,14.289855071,6
19,20,2212,14,25,14,42,54,5,1,0,0,0,0,3,99,0,10,57,142.5,4,600,875,17.391304347,7
20,21,2261,14,28,14,35,74,0,0,0,0,0,3,3,28,0,10,63,149.8,6,635,924,18.405797102,7
21,22,1977,12,21,12,36,66,0,0,0,0,0,0,0,45,0,6,54,134.1,0,558,831,16.173913044000003,6
22,23,2692,16,28,16,40,84,0,2,0,0,0,0,5,88,4,12,72,186.8,7,783,1164,22.695652174,8
23,24,1715,10,15,10,30,50,3,0,0,0,0,0,0,70,0,5,46,121.5,0,500,760,14.492753625,5
