,batsman,bowler,tot_ball,inning,over_num,ball_num,stage,bowler_num,batsman_num,howout,wide_runs,noball,noball_bat_runs,LegByes_runs,Byes_runs,Bat_runs,Balls_faced,boundary,scoring_id,wickets,Overs,run,runs,ball_counts,runrate_ball,EXTRA
0,Dilli Babu ,Kishore Kumar,2254,22,29,39,11,11,22,5,0,0,0,0,0,6,75,4,16,1,32.9,6,147,153,4.260869564,11
1,Dilli Babu ,Parthiban,416,4,6,9,2,4,4,0,0,0,0,0,0,1,16,0,3,0,6.9,1,31,34,0.898550725,2
2,Kaleeswaran ,Subash,2146,16,102,25,16,24,56,3,0,1,0,0,0,8,48,4,15,41,104.5,9,425,618,12.318840581,8
3,Kaleeswaran ,Syed Haseeb,1086,8,52,18,8,16,28,0,0,0,0,0,0,5,30,4,8,20,53.8,5,229,322,6.6376811589999996,4
4,Kooda Lingam,Mathan,1977,12,132,21,12,36,66,0,0,0,0,0,0,0,45,0,6,54,134.1,0,558,831,16.173913044000003,6
5,Kooda Lingam,Srinivasan,2640,16,176,30,16,40,88,0,1,0,0,0,3,2,60,0,10,72,179.0,6,756,1112,21.913043479,8
6,Kumar ,Srinivasan,1235,8,76,11,8,20,36,1,0,0,0,0,0,1,30,0,5,29,77.1,1,327,471,9.478260869,4
7,Kumar ,Subash,1519,10,90,23,10,15,45,0,0,1,0,0,0,2,15,0,7,35,92.3,3,397,564,11.507246376,5
8,Mahendran ,Kishore Kumar,2369,20,76,33,10,10,30,0,0,0,0,0,0,10,96,8,18,26,79.3,10,310,459,8.985507244,10
9,Mahendran ,Parthiban,1647,14,52,19,7,14,21,0,0,0,0,0,0,2,57,0,9,19,53.9,2,189,310,5.47826087,7
10,Mahendran ,Subash,505,4,20,9,4,6,6,1,0,0,0,0,0,0,37,0,2,7,20.9,0,78,123,2.260869566,2
11,Murugan ,Kishore Kumar,1038,10,15,17,5,5,5,1,0,0,0,0,0,2,46,0,7,3,16.7,2,68,83,1.9710144920000001,5
12,Murugan ,Parthiban,2713,26,42,50,13,26,13,0,0,1,0,0,0,14,125,12,24,0,47.0,15,231,230,6.695652175,13
13,Navaneetha Krishnan,Kishore Kumar,773,6,33,11,6,3,18,0,0,0,0,0,0,2,9,0,5,13,34.1,2,124,200,3.594202899,3
14,Navaneetha Krishnan,Mathan,1266,8,80,16,8,24,24,5,0,0,0,0,0,1,90,0,5,33,81.6,1,343,502,9.942028985,4
15,Navaneetha Krishnan,Srinivasan,310,2,19,4,2,5,6,0,0,0,0,0,0,1,20,0,2,7,19.4,1,83,119,2.405797101,1
16,Navaneetha Krishnan,Subash,2533,18,132,38,18,27,54,0,1,0,0,0,0,2,106,0,11,51,135.8,3,589,814,17.072463766000002,9
17,Navaneetha Krishnan,Syed Haseeb,1965,14,103,22,14,28,42,0,0,0,0,0,0,3,75,0,10,40,105.2,3,466,628,13.507246376,7
18,Om Jagadeesh ,Parthiban,914,8,24,18,4,8,16,3,0,0,0,0,0,0,10,0,4,9,25.8,0,104,150,3.014492752,4
19,Pradeep ,Kishore Kumar,1720,14,63,26,10,7,35,1,0,0,0,0,0,3,41,0,10,25,65.6,3,235,383,6.811594203,7
20,Pradeep ,Parthiban,241,2,8,5,1,2,5,0,0,0,0,0,0,1,4,0,2,3,8.5,1,29,50,0.84057971,1
21,Pradeep ,Subash,750,6,30,6,6,9,15,0,0,0,0,0,0,1,21,0,4,9,30.6,1,115,177,3.333333333,3
22,Praveen Kumar,Subash,1707,12,92,19,12,18,48,1,0,0,0,0,0,11,33,10,13,37,93.9,11,419,561,12.144927537000001,6
23,Praveen Kumar,Syed Haseeb,2339,16,132,24,16,32,64,0,1,0,0,0,0,3,72,0,11,48,134.4,4,601,811,17.420289856,8
24,Senthil Nathan ,Mathan,2661,16,180,24,16,48,80,3,1,0,0,0,0,2,79,0,10,70,182.4,3,757,1133,21.942028987,8
25,Senthil Nathan ,Srinivasan,2625,16,174,32,16,40,80,0,1,0,0,0,0,6,57,4,13,71,177.2,7,745,1097,21.594202898,8
